InvoiceNo,Unknown Product
536366,0
536367,0
536368,0
536369,0
536370,0
536371,0
536372,0
536373,0
536374,0
536375,0
536376,0
536377,0
536378,0
536379,0
536380,1
536381,0
536382,0
536383,0
536384,0
536385,0
536386,0
536387,0
536388,0
536389,0
536390,0
536391,0
536392,0
536393,0
536394,0
536395,0
536396,0
536397,0
536398,0
536399,1
536400,0
536401,0
536402,0
536403,0
536404,0
536405,0
536406,0
536407,0
536408,0
536410,0
536411,0
536412,0
536413,0
536414,1
536416,1
536417,0
536418,0
536419,0
536420,0
536421,0
536422,0
536423,0
536424,0
536425,0
536426,0
536427,0
536428,0
536429,0
536430,0
536431,0
536432,0
536433,0
536434,1
536435,0
536436,0
536437,0
536438,0
536439,0
536440,0
536441,0
536442,0
536443,0
536444,0
536445,0
536446,0
536447,0
536448,0
536449,0
536450,1
536451,0
536452,0
536453,0
536454,0
536455,0
536456,0
536457,0
536458,0
536459,0
536460,0
536461,0
536462,1
536463,0
536464,0
536465,0
536466,0
536467,0
536468,0
536469,0
536470,0
536471,0
536473,0
536474,0
536475,0
536477,0
536478,0
536479,0
536480,0
536481,1
536483,0
536484,0
536485,0
536486,0
536487,0
536488,0
536490,0
536491,0
536492,0
536493,0
536494,0
536495,0
536496,0
536498,0
536499,0
536500,0
536501,0
536502,0
536503,0
536505,0
536506,0
536507,0
536508,0
536509,0
536510,0
536511,0
536512,0
536513,0
536514,0
536515,0
536517,0
536518,0
536519,0
536520,0
536521,0
536522,0
536523,0
536524,0
536525,0
536526,0
536527,0
536528,0
536529,0
536530,0
536531,0
536532,0
536533,0
536534,0
536535,0
536536,0
536537,0
536538,0
536539,0
536540,0
536541,0
536542,0
536543,0
536544,0
536545,0
536546,0
536547,0
536548,0
536549,0
536550,0
536551,0
536552,1
536553,0
536554,0
536555,0
536557,0
536558,0
536559,0
536560,0
536561,0
536562,0
536563,0
536564,0
536565,0
536566,0
536567,0
536568,0
536569,0
536570,0
536571,1
536572,0
536573,0
536574,0
536575,0
536576,1
536577,0
536578,0
536579,0
536580,0
536581,0
536582,0
536583,0
536584,0
536585,0
536586,0
536587,0
536588,0
536589,0
536591,0
536592,0
536593,0
536594,0
536595,0
536596,0
536597,0
536598,0
536599,0
536600,0
536601,0
536602,1
536603,0
536604,0
536605,0
536606,0
536607,0
536608,0
536609,0
536610,0
536611,0
536612,0
536613,0
536614,0
536615,0
536616,0
536617,0
536618,0
536619,0
536620,0
536621,0
536622,0
536623,0
536624,0
536625,0
536626,0
536627,1
536628,0
536629,0
536630,0
536631,0
536632,0
536633,0
536634,0
536635,0
536636,0
536637,0
536638,0
536639,0
536640,0
536641,0
536642,0
536643,0
536644,0
536645,0
536646,0
536647,0
536648,0
536649,0
536650,0
536651,0
536652,0
536653,0
536654,0
536655,0
536656,0
536657,0
536658,0
536659,0
536660,0
536661,0
536662,0
536663,0
536664,0
536665,0
536666,1
536667,0
536668,0
536669,0
536670,0
536671,0
536672,0
536673,0
536674,0
536675,0
536676,0
536677,0
536678,0
536679,1
536680,1
536681,0
536682,0
536683,0
536684,0
536685,0
536686,0
536687,0
536688,0
536689,0
536690,0
536691,0
536692,0
536693,0
536694,0
536695,0
536696,0
536697,0
536698,0
536699,0
536700,0
536701,0
536702,0
536703,0
536704,0
536705,0
536706,0
536707,0
536708,0
536709,0
536710,0
536711,0
536712,0
536713,0
536714,1
536715,0
536716,0
536717,0
536718,0
536719,0
536720,0
536721,0
536722,0
536723,0
536724,0
536725,0
536726,0
536727,0
536728,0
536729,0
536730,0
536731,0
536732,0
536733,0
536734,0
536735,0
536736,0
536737,0
536738,1
536739,0
536740,0
536741,0
536742,0
536743,0
536744,0
536745,0
536746,0
536747,0
536748,0
536749,0
536750,0
536751,0
536752,0
536753,0
536754,0
536755,0
536756,0
536757,0
536758,0
536759,0
536760,0
536761,0
536762,0
536763,0
536764,0
536765,0
536766,0
536767,0
536768,0
536769,0
536770,0
536771,0
536772,0
536773,0
536774,0
536775,0
536776,0
536777,0
536778,0
536779,0
536780,0
536781,0
536782,0
536783,0
536784,0
536785,0
536787,0
536788,0
536789,0
536791,0
536792,0
536793,0
536794,0
536795,0
536796,1
536797,0
536798,0
536799,0
536800,0
536801,0
536802,0
536803,0
536804,0
536805,0
536806,0
536807,0
536808,0
536809,0
536810,0
536811,0
536812,0
536813,0
536814,0
536815,0
536816,0
536817,0
C536367,0
C536409,0
C536415,0
C536476,0
C536480,0
C536489,0
C536497,0
C536506,0
C536509,0
C536516,0
C536556,0
C536573,0
C536590,0
C536618,0
C536648,0
C536651,0
C536677,0
C536683,0
C536708,0
C536743,0
C536750,0
C536764,0
C536782,0
C536786,0
C536790,0
C536812,0
C536813,0
CC536580,0
